"document","term","count","flag","ID","Support.Group","Store","Classification","Assigned.To","Priority","Reopened","Location","Created.Date","Resolved.Date","Created.Week","Created.Week2","Created.Month"
"IR11","hear",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR11","opinion",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR11","perspective",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR11","see",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR11","truth",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR12","arguing",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR12","good",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR12","man",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR12","one",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR12","time",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR12","waste",1,1,"IR12","Retail Support","Downtown","Lane Frozen","George","P3","No","NLB",2017-03-02,2017-03-04,2017-02-26,2017-02-25,2017-03-01
"IR13","alive",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","arise",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","enjoy",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","love",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","morning",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","privilege",1,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR13","think",2,1,"IR13","Help Desk","Downtown","Email","Charlie","P2","No","GWS",2017-03-28,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR14","accept",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","binds",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","brings",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","fate",2,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","heart",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","love",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","people",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","things",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR14","together",1,1,"IR14","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-08-21,2016-08-25,2016-08-15,2016-08-14,2016-08-01
"IR15","anything",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","distressed",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","due",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","estimate",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","external",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","moment",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","pain",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","power",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","revoke",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR15","thing",1,1,"IR15","Retail Payments","Wells Branch","Credit Card Issue","Laura","P2","No","MAV",2017-02-11,2017-02-13,2017-02-05,2017-02-04,2017-02-01
"IR16","best",1,1,"IR16","Help Desk","Wells Branch","Email","Emily","P3","Yes","WSP",2017-02-13,2017-02-20,2017-02-12,2017-02-11,2017-02-01
"IR16","injury",1,1,"IR16","Help Desk","Wells Branch","Email","Emily","P3","Yes","WSP",2017-02-13,2017-02-20,2017-02-12,2017-02-11,2017-02-01
"IR16","performed",1,1,"IR16","Help Desk","Wells Branch","Email","Emily","P3","Yes","WSP",2017-02-13,2017-02-20,2017-02-12,2017-02-11,2017-02-01
"IR16","revenge",1,1,"IR16","Help Desk","Wells Branch","Email","Emily","P3","Yes","WSP",2017-02-13,2017-02-20,2017-02-12,2017-02-11,2017-02-01
"IR16","unlike",1,1,"IR16","Help Desk","Wells Branch","Email","Emily","P3","Yes","WSP",2017-02-13,2017-02-20,2017-02-12,2017-02-11,2017-02-01
"IR17","beginning",1,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR17","death",1,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR17","fear",2,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR17","live",1,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR17","man",1,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR17","never",1,1,"IR17","Help Desk","Lamar","Permission Request","Emily","P2","No","BRL",2017-03-27,2017-04-01,2017-03-27,2017-03-26,2017-03-01
"IR18","life",1,1,"IR18","Help Desk","Downtown","Email","Diego","P3","No","ORT",2017-03-15,2017-03-17,2017-03-13,2017-03-11,2017-03-01
"IR18","make",1,1,"IR18","Help Desk","Downtown","Email","Diego","P3","No","ORT",2017-03-15,2017-03-17,2017-03-13,2017-03-11,2017-03-01
"IR18","thoughts",1,1,"IR18","Help Desk","Downtown","Email","Diego","P3","No","ORT",2017-03-15,2017-03-17,2017-03-13,2017-03-11,2017-03-01
"IR19","becomes",1,1,"IR19","Help Desk","Sunset Valley","Permission Request","Diego","P3","Yes","NLB",2016-07-03,2016-07-03,2016-06-27,2016-06-26,2016-07-01
"IR19","colour",1,1,"IR19","Help Desk","Sunset Valley","Permission Request","Diego","P3","Yes","NLB",2016-07-03,2016-07-03,2016-06-27,2016-06-26,2016-07-01
"IR19","dyed",1,1,"IR19","Help Desk","Sunset Valley","Permission Request","Diego","P3","Yes","NLB",2016-07-03,2016-07-03,2016-06-27,2016-06-26,2016-07-01
"IR19","soul",1,1,"IR19","Help Desk","Sunset Valley","Permission Request","Diego","P3","Yes","NLB",2016-07-03,2016-07-03,2016-06-27,2016-06-26,2016-07-01
"IR19","thoughts",1,1,"IR19","Help Desk","Sunset Valley","Permission Request","Diego","P3","Yes","NLB",2016-07-03,2016-07-03,2016-06-27,2016-06-26,2016-07-01
"IR20","able",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","change",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","continues",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","deception",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","ever",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","happily",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","harmed",2,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","ignorance",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","one",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","person",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","right",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","seek",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","self",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","show",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","someone",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","think",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","truly",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","truth",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR20","will",1,1,"IR20","Help Desk","Lamar","Permission Request","Adam","P3","No","GWS",2016-10-13,2016-10-14,2016-10-10,2016-10-09,2016-10-01
"IR21","right",1,1,"IR21","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-06-12,2016-06-18,2016-06-06,2016-06-12,2016-06-01
"IR21","say",1,1,"IR21","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-06-12,2016-06-18,2016-06-06,2016-06-12,2016-06-01
"IR21","true",1,1,"IR21","Retail Payments","Downtown","Tax Issue","Laura","P2","No","MAD",2016-06-12,2016-06-18,2016-06-06,2016-06-12,2016-06-01
"IR22","arm",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","disturb",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","future",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","let",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","meet",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","never",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","present",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","reason",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","today",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","weapons",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR22","will",1,1,"IR22","Retail Payments","Wells Branch","Tax Issue","Laura","P4","No","MAV",2017-03-04,2017-03-05,2017-02-26,2017-02-25,2017-03-01
"IR23","happy",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","life",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","little",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","make",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","needed",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","thinking",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","way",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR23","within",1,1,"IR23","Help Desk","Wells Branch","Permission Request","Bob","P2","No","WSP",2016-05-17,2016-05-20,2016-05-16,2016-05-15,2016-05-01
"IR24","escape",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","finding",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","insane",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","life",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","majority",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","object",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","oneself",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","ranks",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR24","side",1,1,"IR24","Retail Support","Lamar","Other","Irvin","P3","No","BRL",2016-12-06,2016-12-09,2016-12-04,2016-12-03,2016-12-01
"IR25","every",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
"IR25","less",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
"IR25","loves",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
"IR25","man",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
"IR25","men",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
"IR25","often",1,1,"IR25","Help Desk","Sunset Valley","Desktop Support","Diego","P2","No","ORT",2017-01-04,2017-01-06,2017-01-01,2016-12-31,2017-01-01
